"OTUID","INDO18S13S1AF100","INDO18S13S1AF500","INDO18S13S1ASES","INDO18S13S1BF100","INDO18S13S1BF500","INDO18S13S1BSES","INDO18S13S1CF100","INDO18S13S1CF500","INDO18S13S1CSES","INDO18S12S1AF100","INDO18S12S1AF500","INDO18S12S1ASES","INDO18S12S1BF100","INDO18S12S1BF500","INDO18S12S2AF100","INDO18S12S2AF500","INDO18S12S2ASES","INDO18S12S2BF100","INDO18S12S2BF500","INDO18S12S1BSES","INDO18S12S2BSES","INDO18S12S2CF100","INDO18S12S2CF500","INDO18S12S2CSES","INDO18S12S1CF100","INDO18S12S1CF500","INDO18S12S1CSES","Phylum"
"OTU_1",52,2,409,4,1,27,276,5,375,179,0,93,372,0,0,0,677,0,0,685,472,0,10,7888,0,2,46,"Cnidaria"
"OTU_10",3,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,13,"Rhodophyta"
"OTU_1000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,"Cnidaria"
"OTU_1000036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"Chordata"
"OTU_1000042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"Chordata"
"OTU_1000062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Rhodophyta"
"OTU_1000070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"Chordata"
"OTU_1000071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"Chordata"
"OTU_1000075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"Chordata"
"OTU_1000080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"Annelida"
"OTU_1000081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,"Chordata"
"OTU_1000117",2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,"Cnidaria"
"OTU_1000119",0,0,7,3,1,2,0,0,8,1,0,90,1,0,0,0,1,1,0,15,11,1,0,25,0,0,2,"Bryozoa"
"OTU_1000122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Chordata"
