Phylum,INDO18S13S1A,INDO18S13S1A.1,INDO18S13S1A.2,INDO18S13S1B,INDO18S13S1B.1,INDO18S13S1B.2,INDO18S13S1C,INDO18S13S1C.1,INDO18S13S1C.2,INDO18S12S1A,INDO18S12S1A.1,INDO18S12S1A.2,INDO18S12S1B,INDO18S12S1B.1,INDO18S12S2A,INDO18S12S2A.1,INDO18S12S2A.2,INDO18S12S2B,INDO18S12S2B.1,INDO18S12S1B.2,INDO18S12S2B.2,INDO18S12S2C,INDO18S12S2C.1,INDO18S12S2C.2,INDO18S12S1C,INDO18S12S1C.1,INDO18S12S1C.2
Acanthocephala,8.22E-06,0,0,0,0.000295309,0,0,0,0,8.62E-06,0,5.31E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebozoa,0.00013962,3.06E-05,1.19E-05,8.96E-05,2.36E-05,1.26E-05,6.07E-05,4.47E-05,0,6.47E-05,9.35E-06,5.31E-06,7.11E-05,1.08E-05,0.00011946,2.83E-05,6.96E-05,6.96E-05,9.09E-06,0,2.38E-05,0.00026468,0.0001037,1.89E-05,0.0001276,0,1.77E-05
Annelida,0.093052884,0.147277548,0.060063156,0.149271143,0.247690501,0.019561023,0.211302452,0.335903853,0.029904728,0.207576472,0.217282686,0.0339911,0.229192737,0.13215095,0.257149713,0.244888321,0.052117088,0.258826116,0.17780472,0.015879733,0.011630877,0.241163786,0.396651786,0.040082894,0.141831597,0.658117725,0.002587567
Arthropoda,0.429372227,0.059444948,0.041040228,0.315546856,0.164249066,0.03009834,0.457797673,0.173448585,0.026474032,0.411181365,0.167789323,0.019903409,0.434997449,0.169991349,0.410398195,0.299172452,0.015754163,0.394047131,0.589758122,0.01041004,0.003382183,0.382555356,0.177515001,0.014205959,0.309166084,0.050716213,0.007532582
Ascomycota,0.0002138,8.16E-05,7.14E-05,0.00024416,0.00043691,0.0001388,0.0001517,0.0001119,2.46E-05,0.000331893,7.48E-05,2.12E-05,0.0001738,0.0003469,0.00016706,0.000290567,5.70E-05,0.00022601,0.00027283,1.20E-05,2.39E-05,0.000272425,0.0004492,0.00013527,0.0001508,1.63E-05,6.20E-05
Basidiomycota,2.46E-05,0,0,4.07E-05,0,1.26E-05,9.10E-05,0,1.23E-05,8.62E-06,1.87E-05,1.59E-05,3.16E-05,5.41E-05,4.77E-05,6.38E-05,1.26E-05,1.74E-05,2.73E-05,0,1.02E-05,3.89E-05,1.73E-05,0,2.32E-05,2.17E-05,8.86E-06
Bigyra,0.002038532,0.000846841,0.000879752,0.001913262,0.000696571,0.005990198,0.002472145,0.00255985,0.001790333,0.001986889,0.0005327,0.001146895,0.003271576,0.000888653,0.003279142,0.000616837,0.001604929,0.001295337,0.00018185,0.000815191,0.00041884,0.004436332,0.000863854,0.001843688,0.003722877,0.00024488,0.001329157
Brachiopoda,0,0,5.94E-05,0.002409265,1.18E-05,1.26E-05,0,0,0,0,0,0.000111538,0.001193455,0.000108487,0.000756141,0,2.52E-05,0,0,9.59E-05,3.41E-06,0.000272405,0,0.000232828,0,0,0
Bryozoa,0.012943573,0.027394725,0.04679967,0.019233827,0.024675092,0.01655339,0.014147278,0.021584003,0.018783748,0.022287691,0.029868794,0.159815783,0.008740851,0.017019804,0.006518444,0.003967469,0.058202645,0.005162813,0.002781711,0.083859054,0.031569649,0.009651144,0.00829051,0.06523874,0.01058819,0.001012151,0.019780557
Cercozoa,0.001931585,0.0006325,0.0001308,0.001042284,0.0003777,0.0003282,0.001683895,0.00037302,0.00032508,0.003193513,0.0003645,0.000615891,0.002686829,0.001127647,0.002889056,0.000496017,0.0006885,0.002173083,0.00014542,0.00034176,0.00020088,0.0050196,0.00115745,0.00038085,0.00260964,0.00025026,0.000673402
