ARMS,ARMS.18S,COI,x18S,Region,Year,Site,Unit,Fraction
INDO12S1A,INDO18S12S1A,INDO12S1AF100,INDO18S12S1AF100,INDO,2012,S1,A,F100
INDO12S1A,INDO18S12S1A,INDO12S1AF500,INDO18S12S1AF500,INDO,2012,S1,A,F500
INDO12S1A,INDO18S12S1A,INDO12S1ASES,INDO18S12S1ASES,INDO,2012,S1,A,SES
INDO12S1B,INDO18S12S1B,INDO12S1BF100,INDO18S12S1BF100,INDO,2012,S1,B,F100
INDO12S1B,INDO18S12S1B,INDO12S1BF500,INDO18S12S1BF500,INDO,2012,S1,B,F500
INDO12S1B,INDO18S12S1B,INDO12S1BSES,INDO18S12S1BSES,INDO,2012,S1,B,SES
INDO12S1C,INDO18S12S1C,INDO12S1CF100,INDO18S12S1CF100,INDO,2012,S1,C,F100
INDO12S1C,INDO18S12S1C,INDO12S1CF500,INDO18S12S1CF500,INDO,2012,S1,C,F500
INDO12S1C,INDO18S12S1C,INDO12S1CSES,INDO18S12S1CSES,INDO,2012,S1,C,SES
INDO12S2A,INDO18S12S2A,INDO12S2AF100,INDO18S12S2AF100,INDO,2012,S2,A,F100
INDO12S2A,INDO18S12S2A,INDO12S2AF500,INDO18S12S2AF500,INDO,2012,S2,A,F500
INDO12S2A,INDO18S12S2A,INDO12S2ASES,INDO18S12S2ASES,INDO,2012,S2,A,SES
INDO12S2B,INDO18S12S2B,INDO12S2BF100,INDO18S12S2BF100,INDO,2012,S2,B,F100
INDO12S2B,INDO18S12S2B,INDO12S2BF500,INDO18S12S2BF500,INDO,2012,S2,B,F500
INDO12S2B,INDO18S12S2B,INDO12S2BSES,INDO18S12S2BSES,INDO,2012,S2,B,SES
INDO12S2C,INDO18S12S2C,INDO12S2CF100,INDO18S12S2CF100,INDO,2012,S2,C,F100
INDO12S2C,INDO18S12S2C,INDO12S2CF500,INDO18S12S2CF500,INDO,2012,S2,C,F500
INDO12S2C,INDO18S12S2C,INDO12S2CSES,INDO18S12S2CSES,INDO,2012,S2,C,SES
INDO13S1A,INDO18S13S1A,INDO13S1AF100,INDO18S13S1AF100,INDO,2013,S1,A,F100
INDO13S1A,INDO18S13S1A,INDO13S1AF500,INDO18S13S1AF500,INDO,2013,S1,A,F500
INDO13S1A,INDO18S13S1A,INDO13S1ASES,INDO18S13S1ASES,INDO,2013,S1,A,SES
INDO13S1B,INDO18S13S1B,INDO13S1BF100,INDO18S13S1BF100,INDO,2013,S1,B,F100
INDO13S1B,INDO18S13S1B,INDO13S1BF500,INDO18S13S1BF500,INDO,2013,S1,B,F500
INDO13S1B,INDO18S13S1B,INDO13S1BSES,INDO18S13S1BSES,INDO,2013,S1,B,SES
INDO13S1C,INDO18S13S1C,INDO13S1CF100,INDO18S13S1CF100,INDO,2013,S1,C,F100
INDO13S1C,INDO18S13S1C,INDO13S1CF500,INDO18S13S1CF500,INDO,2013,S1,C,F500
INDO13S1C,INDO18S13S1C,INDO13S1CSES,INDO18S13S1CSES,INDO,2013,S1,C,SES
