"OTUID","INDO12S1AF100","INDO12S1AF500","INDO12S1ASES","INDO12S1BF100","INDO12S1BF500","INDO12S1BSES","INDO12S1CF100","INDO12S1CF500","INDO12S1CSES","INDO12S2AF100","INDO12S2AF500","INDO12S2ASES","INDO12S2BF100","INDO12S2BF500","INDO12S2BSES","INDO12S2CF100","INDO12S2CF500","INDO12S2CSES","INDO13S1AF100","INDO13S1AF500","INDO13S1ASES","INDO13S1BF100","INDO13S1BF500","INDO13S1BSES","INDO13S1CF100","INDO13S1CF500","INDO13S1CSES","Phylum"
"IND11100M1_0_ID49342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"Unknown"
"IND05100M1_0_ID67197",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Unknown"
"CE02BSM4_0_ID148255",0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,1,"Unknown"
"BAO01BBSM6_0_ID259210",0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,"Unknown"
"IND05100M1_0_ID190102",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"CE01100M1_0_ID86302",1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Unknown"
"CE02BSM1_0_ID87284",0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,3,1,3,0,0,0,1,0,0,0,1,"Unknown"
"CE02BSM3_0_ID163661",0,0,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Bryozoa"
"IND11100M3_0_ID25995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,26,1,0,3,0,0,0,0,0,"Unknown"
"CE02100M2_0_ID8362",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Unknown"
"IND06100M1_0_ID75554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"BAO01B100M4_0_ID8647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Unknown"
"ART01A500M5_0_ID166825",3,1,3,13,0,3,11,0,64,2,1,1,3,1,2,9,9,18,22,6,1,2,2,2,2,8,2,"Cnidaria"
"CE03100M4_0_ID152271",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Rhodophyta"
"BAA01CBSM2_0_ID148904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Porifera"
"CE02BSM1_0_ID35134",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"IND12500M1_0_ID86732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,"Unknown"
"CE02500M1_0_ID10131",0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arthropoda"
"ART01A500M5_0_ID165952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Unknown"
"IND12BSM1_0_ID91134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"Unknown"
"CE02BSM6_0_ID113541",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Bryozoa"
"CE02BSM6_0_ID113542",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Rhodophyta"
"IND6100M4_0_ID244544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,"Annelida"
"BAA01C100M5_0_ID116528",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Annelida"
"IND11BSM1_0_ID133678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Arthropoda"
"IND04100M1_0_ID168156",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"HR01100M6_0_ID203644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,"Unknown"
"IND13500M3_0_ID122058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Porifera"
"BAA02BBSM6_0_ID175404",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Porifera"
"IND13BSM1_0_ID79510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Unknown"
"CE03100M4_0_ID130702",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Annelida"
"CE02BSM1_0_ID52276",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Porifera"
"CE01100M1_0_ID126973",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,"Rhodophyta"
"IND07BSM1_0_ID256142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rhodophyta"
"IND11500M1_0_ID8852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Porifera"
"IND13BSM7_0_ID155045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Annelida"
"ART02C500M5_0_ID95450",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"Mollusca"
"GUA02A100M5_0_ID1401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Porifera"
"CE02BSM6_0_ID332561",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"CE03100M4_0_ID45820",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"FFS12ABSM1_0_ID246825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Rhodophyta"
"IND11100M1_0_ID42818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Ochrophyta"
"CE02BSM6_0_ID402752",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"IND06500M5_0_ID174623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,"Unknown"
"IND06BSM1_0_ID26422",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Porifera"
"IND11100M1_0_ID36291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,"Unknown"
"IND06500M1_0_ID56374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Annelida"
"CE01500M1_0_ID75057",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,1,"Annelida"
"IND06BSM1_0_ID15504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Rhodophyta"
"ART01B500M3_0_ID165235",0,0,12,0,0,3,0,0,2,0,0,2,0,0,0,3,3,4,0,0,0,1,0,0,1,36,0,"Unknown"
"HR01BSM1_0_ID119849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,0,0,0,0,0,0,15,0,0,"Arthropoda"
"BAO01B100M6_0_ID93891",2,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,"Unknown"
"HR01100M1_0_ID87776",0,0,0,0,0,0,13,0,0,79,0,0,47,0,0,28,0,0,58,0,0,23,0,0,35,0,0,"Unknown"
"CE02100M2_0_ID157320",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,"Arthropoda"
"BAA01C100M7_0_ID234841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Unknown"
"CE02BSM3_0_ID209728",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Annelida"
"HR01100M1_0_ID18916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"Unknown"
"IND06BSM4_0_ID140462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Rhodophyta"
"IND11500M1_0_ID241313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Mollusca"
"HAW24BBSM6_0_ID177409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Porifera"
"IND6100M3_0_ID32234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"IND06BSM1_0_ID79381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,"Rhodophyta"
"IND11100M1_0_ID22274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,"Unknown"
"BAA02CBSM6_0_ID132022",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Porifera"
"CE01100M1_0_ID21245",1,0,2,10,0,0,0,0,0,4,0,0,4,0,0,18,35,0,14,0,0,0,0,0,1,28,0,"Unknown"
"CE03100M4_0_ID191935",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Unknown"
"IND11500M3_0_ID49959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Annelida"
"IND11100M4_0_ID190764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,"Unknown"
"IND13100M1_0_ID143200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Unknown"
"BAO01C100M5_0_ID16559",0,0,0,0,0,0,1,0,0,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Rhodophyta"
"IND12100M1_0_ID109484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"Unknown"
"IND13100M1_0_ID177913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Cnidaria"
"IND11500M1_0_ID35462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Unknown"
"CE02100M2_0_ID30985",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"Unknown"
"IND12100M1_0_ID118662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,212,0,5,10,0,0,"Unknown"
"CE02BSM3_0_ID23353",0,0,4,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,"Rhodophyta"
"ART01B500M6_0_ID306532",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Rhodophyta"
"ART01B500M6_0_ID193474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,"Rhodophyta"
"ART01BBSM6_0_ID159211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,0,94,0,0,0,"Sipuncula"
"CE03BSM1_0_ID184599",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,"Bryozoa"
