Name,ARMS,unavailable,unknown,none,bryozoa,porifera,rhodophyta,chlorophyta,protista,mollusca,annelida,chordata,cnidaria
S1_2012_ARMS_002_P10B.jpg,INDO12S1A,4,13,195,4,6,2,0,0,0,0,1,0
S1_2012_ARMS_002_P10T.jpg,INDO12S1A,3,0,0,1,81,129,11,0,0,0,0,0
S1_2012_ARMS_002_P1T.jpg,INDO12S1A,53,63,29,10,36,33,0,1,0,0,0,0
S1_2012_ARMS_002_P2B.jpg,INDO12S1A,53,6,71,36,29,14,1,0,0,3,12,0
S1_2012_ARMS_002_P2T.jpg,INDO12S1A,3,69,13,62,27,29,11,4,6,1,0,0
S1_2012_ARMS_002_P3B.jpg,INDO12S1A,3,20,86,69,20,9,0,6,1,5,3,3
S1_2012_ARMS_002_P3T.jpg,INDO12S1A,53,42,48,15,38,29,0,0,0,0,0,0
S1_2012_ARMS_002_P4B.jpg,INDO12S1A,53,12,58,34,43,7,1,1,0,12,4,0
S1_2012_ARMS_002_P4T.jpg,INDO12S1A,4,49,12,24,96,35,1,0,2,1,1,0
S1_2012_ARMS_002_P5B.jpg,INDO12S1A,3,3,51,95,53,5,0,7,1,5,2,0
S1_2012_ARMS_002_P5T.jpg,INDO12S1A,47,71,52,5,12,34,0,2,2,0,0,0
S1_2012_ARMS_002_P6B.jpg,INDO12S1A,55,15,61,59,22,4,0,1,1,7,0,0
S1_2012_ARMS_002_P6T.jpg,INDO12S1A,4,64,5,14,113,22,0,2,1,0,0,0
S1_2012_ARMS_002_P7B.jpg,INDO12S1A,3,36,24,61,66,8,0,1,18,1,7,0
S1_2012_ARMS_002_P7T.jpg,INDO12S1A,57,36,43,2,63,24,0,0,0,0,0,0
S1_2012_ARMS_002_P8B.jpg,INDO12S1A,60,5,69,42,29,8,0,0,2,4,4,2
S1_2012_ARMS_002_P8T.jpg,INDO12S1A,4,62,11,15,100,22,0,2,7,1,0,1
S1_2012_ARMS_002_P9B.jpg,INDO12S1A,4,47,31,46,76,10,1,4,3,3,0,0
S1_2012_ARMS_002_P9T.jpg,INDO12S1A,13,59,118,0,6,12,0,0,1,16,0,0
S1_2012_ARMS_003_P10B.jpg,INDO12S1B,6,25,165,3,18,2,0,3,2,0,0,1
S1_2012_ARMS_003_P10T.jpg,INDO12S1B,3,2,3,2,88,112,15,0,0,0,0,0
S1_2012_ARMS_003_P1T.jpg,INDO12S1B,55,55,68,8,29,10,0,0,0,0,0,0
S1_2012_ARMS_003_P2B.jpg,INDO12S1B,58,8,62,55,33,5,0,1,0,2,1,0
S1_2012_ARMS_003_P2T.jpg,INDO12S1B,4,77,32,21,48,36,2,0,1,3,0,1
S1_2012_ARMS_003_P3B.jpg,INDO12S1B,2,16,17,63,93,15,0,2,2,5,10,0
S1_2012_ARMS_003_P3T.jpg,INDO12S1B,58,56,43,11,31,26,0,0,0,0,0,0
S1_2012_ARMS_003_P4B.jpg,INDO12S1B,50,12,50,24,68,12,0,0,0,8,0,1
S1_2012_ARMS_003_P4T.jpg,INDO12S1B,4,56,20,36,75,27,0,2,0,0,0,5
S1_2012_ARMS_003_P5B.jpg,INDO12S1B,4,8,60,39,62,6,0,4,0,4,35,3
S1_2012_ARMS_003_P5T.jpg,INDO12S1B,51,64,28,5,44,28,0,1,1,3,0,0
S1_2012_ARMS_003_P6B.jpg,INDO12S1B,59,8,52,47,44,11,0,0,0,4,0,0
S1_2012_ARMS_003_P6T.jpg,INDO12S1B,4,64,7,33,78,33,0,1,3,2,0,0
S1_2012_ARMS_003_P7B.jpg,INDO12S1B,1,34,9,57,105,9,0,1,8,1,0,0
S1_2012_ARMS_003_P7T.jpg,INDO12S1B,51,91,16,5,16,42,1,2,0,1,0,0
S1_2012_ARMS_003_P8B.jpg,INDO12S1B,51,28,33,54,49,7,0,0,0,3,0,0
S1_2012_ARMS_003_P8T.jpg,INDO12S1B,4,46,34,51,61,18,0,5,5,1,0,0
S1_2012_ARMS_003_P9B.jpg,INDO12S1B,4,28,83,71,15,4,0,2,0,4,11,3
S1_2012_ARMS_003_P9T.jpg,INDO12S1B,4,44,164,0,3,4,0,0,0,6,0,0
